,, Клуб , Имя 
,,  Краснодар , Лукас Оласа 
,,  Спартак , Алексис Дуарте 
,,  Оренбург , Степан Оганесян 
,,  Пари НН , Свен Карич 
,,  Динамо , Кутицкий 
,,  Ахмат , Турпал-Али Ибишев 
,,  Ростов , Дмитрий Чистяков 
,,  Ахмат , Брайан Мансилья 
,,  Рубин , Руслан Безруков 
,,  Динамо , Лунев 
,,  Ростов , Семенчук 
,,  Крылья Советов , Томас Гальдамес 
,,  Пари НН , Вячеслав Грулев 
,,  Динамо Махачкала , Сердер Сердеров 
,,  Динамо , Маухуб 
,,  Локомотив , Данил Пруцев 
,,  Динамо Махачкала , Тимур Магомедов 
,,  Балтика , Оффор 
,,  Спартак , Игорь Дмитриев 
,,  Крылья Советов , Джимми Марин 
,,  Балтика , Александр Филин 
,,  Крылья Советов , Баняц 
,,  Динамо , Нгамале 
,,  Зенит , Юрий Горшков 
,,  Оренбург , Ведерников 
,,  Динамо Махачкала , Мохамед Аззи 
,,  Рубин , Александар Юкич 
,,  Оренбург , Гузина 
,,  Динамо Махачкала , Мубарик 
,,  Акрон , Константин Марадишвили 
,,  Балтика , Пряхин 
,,  ЦСКА , Алеррандро 
,,  Динамо Махачкала , Мастури 
,,  Сочи , Сауль Гуарирапа 
,,  Оренбург , Алексей Татаев 
,,  Краснодар , Джованни Гонсалес 
,,  Локомотив , Лукас Фассон 
,,  Балтика , Мендель 
,,  Локомотив , Николай Комличенко 
,,  Сочи , Кравцов 
,,  Сочи , Вячеслав Литвинов 
,,  Оренбург , Данила Хотулев 
,,  Зенит , Жерсон 
,,  Сочи , Максим Мухин 
,,  Балтика , Юрий Ковалев 
,,  Акрон , Бистрович 
,,  Акрон , Солтмурад Бакаев 
,,  Акрон , Жилсон Тавареш 
,,  Акрон , Максим Кузьмин 
,,  Крылья Советов , Максим Витюгов 
,,  Оренбург , Кейрос 
,,  ЦСКА , Артем Шуманский 
,,  Пари НН , Камило Кастильо 
,,  Оренбург , Георгий Зотов 
,,  Динамо Махачкала , Ражаб Магомедов 
,,  Оренбург , Владислав Камилов 
,,  Сочи , Александр Солдатенков 
,,  Сочи , Михаил Игнатов 
,,  Динамо Махачкала , Давид Волк 
,,  ЦСКА , Виллиан 
,,  Балтика , Чивич 
,,  Динамо , Ярослав Гладышев 
,,  Динамо , Ульви Бабаев 
,,  Сочи , Захар Федоров 
,,  Динамо , Лещук 
,,  Ростов , Данила Прохин 
,,  Пари НН , Виктор Александров 
,,  Ростов , Даниил Шанталий 
,,  Динамо , Зайнутдинов 
,,  Сочи , Заика 
,,  Сочи , Аттийят-алла 
,,  Зенит , Лусиано Гонду 
,,  Сочи , Роман Ежов 
,,  Балтика , Мурид 
,,  Балтика , Йенне 
,,  Пари НН , Тьяго Весино 
,,  Ростов , Илья Жбанов 
,,  Сочи , Дегтев 
,,  Сочи , Александр Коваленко 
,,  Краснодар , Кевин Ленини 
,,  Акрон , Севикян 
,,  ЦСКА , Жоао Виктор 
,,  Краснодар , Сантос 
,,  Сочи , Дюпин 
,,  Рубин , Олег Иванов 
,,  Пари НН , Пигас 
,,  Спартак , Роман Зобнин 
,,  ЦСКА , Артем Бандикян 
,,  Краснодар , Данила Козлов 
,,  Локомотив , Никита Салтыков 
,,  Оренбург , Муфи 
,,  Спартак , Рикарду Мангаш 
,,  Пари НН , Никита Ермаков 
,,  Рубин , Сиве 
,,  Акрон , Родригу Эшковал 
,,  Зенит , Евгений Латышонок 
,,  Краснодар , Мозес Кобнан Дэвид 
,,  Спартак , Антон Заболотный 
,,  Пари НН , Никита Каккоев 
,,  Пари НН , Сифас 
,,  Акрон , Арсений Дмитриев 
,,  Динамо Махачкала , Абдулпаша Джабраилов 
,,  Сочи , Рудаков 
,,  Ростов , Умар Сако 
,,  Сочи , Сергей Волков 
,,  Локомотив , Сергей Пиняев 
,,  Зенит , Вега 
,,  Ахмат , Абакар Гаджиев 
,,  Динамо Махачкала , Кирилл Зинович 
,,  Динамо Махачкала , Миро 
,,  Рубин , Антон Швец 
,,  ЦСКА , Секу Койта 
,,  Спартак , Джику 
,,  Сочи , Макарчук 
,,  Сочи , Стоич 
,,  Спартак , Олег Рябчук 
,,  Динамо Махачкала , Сослан Кагермазов 
,,  Пари НН , Владислав Карапузов 
,,  Динамо , Роберто Фернандес 
,,  ЦСКА , Кармо 
,,  Рубин , Никола Чумич 
,,  ЦСКА , Джамалутдин Абдулкадыров 
,,  Сочи , Барт 
,,  Динамо , Дмитрий Александров 
,,  Сочи , Магаль 
,,  Оренбург , Бубанья 
,,  Локомотив , Егор Погостнов 
,,  Пари НН , Фаринья 
,,  Зенит , Нуралы Алип 
,,  Пари НН , Николай Калинский 
,,  Локомотив , Данила Годяев 
,,  Ростов , Антон Шамонин 
,,  Сочи , Аберден 
,,  ЦСКА , ди Лусиано 
,,  Динамо Махачкала , Шамиль Гаджиев 
,,  Пари НН , Смелов 
,,  Ахмат , Заре 
,,  Оренбург , Ревазов 
